,theta,coef,se,confint_l,confint_u,abs_bias,sq_error,cover,level,ci_width,nuis_rmse_ml_l,nuis_rmse_ml_m,orcl_rmse_ml_l,orcl_rmse_ml_m,alpha_ml_l,alpha_ml_m,i_rep,date,rho,R2_y,R2_d,design
0,0.5,0.9257921494428978,0.06842663256490057,0.7916784140323371,1.0599058848534586,0.4257921494428978,0.181298954527203,0,0.95,0.2682274708211215,2.79472907933481,2.287111933897723,1.6074980753507844,1.0252331172407467,2.070402496825338,1.9045903806688296,0,2023-02-23,0.6,0.8,0.8,2a
1,0.5,1.2167670749276391,0.12278921837624127,0.9761046292203825,1.4574295206348957,0.7167670749276391,0.5137550397003239,0,0.95,0.4813248914145132,2.79472907933481,1.5234186705726414,1.6074980753507844,1.0252331172407467,2.070402496825338,0.9479191204989035,0,2023-02-23,0.6,0.8,0.8,2a
2,0.5,1.1645038291208643,0.21068663293170795,0.7515656165507062,1.5774420416910222,0.6645038291208643,0.44156533891629074,0,0.95,0.825876425140316,2.79472907933481,1.2130586388611504,1.6074980753507844,1.0252331172407467,2.070402496825338,0.47178157998040104,0,2023-02-23,0.6,0.8,0.8,2a
3,0.5,1.0157266442710053,0.2811454998844849,0.46469159008190497,1.5667616984601058,0.5157266442710053,0.2659739716110321,1,0.95,1.102070108378201,2.79472907933481,1.0432007703048267,1.6074980753507844,1.0252331172407467,2.070402496825338,0.23480680407802892,0,2023-02-23,0.6,0.8,0.8,2a
4,0.5,0.8855356661173702,0.32513426164239667,0.24828422315824994,1.5227871090764906,0.3855356661173702,0.14863774984856437,1,0.95,1.2745028859182406,2.79472907933481,0.9670748526578403,1.6074980753507844,1.0252331172407467,2.070402496825338,0.11686389969618632,0,2023-02-23,0.6,0.8,0.8,2a
5,0.5,0.6393694017173417,0.29781829199087484,0.055656275477993344,1.2230825279566901,0.1393694017173417,0.019423830135049766,1,0.95,1.167426252478697,2.79472907933481,1.036307914230776,1.6074980753507844,1.0252331172407467,2.070402496825338,0.058163438260766365,0,2023-02-23,0.6,0.8,0.8,2a
6,0.5,0.41041029955878155,0.2480201207615249,-0.0757002045750822,0.8965208036926453,0.08958970044121845,0.008026314425147256,1,0.95,0.9722210082677275,2.79472907933481,1.1743909059773614,1.6074980753507844,1.0252331172407467,2.070402496825338,0.02894808028064101,0,2023-02-23,0.6,0.8,0.8,2a
7,0.5,0.2943647600078866,0.20950212864711595,-0.11625186682493782,0.704981386840711,0.20563523999211342,0.04228585192661408,1,0.95,0.8212332536656488,2.79472907933481,1.3172896702686745,1.6074980753507844,1.0252331172407467,2.070402496825338,0.014407527769892802,0,2023-02-23,0.6,0.8,0.8,2a
8,0.5,0.246150064782972,0.18593838112480277,-0.1182824655653236,0.6105825951312676,0.25384993521702803,0.06443978960968932,1,0.95,0.7288650606965912,2.79472907933481,1.4202755663220057,1.6074980753507844,1.0252331172407467,2.070402496825338,0.007170660521452572,0,2023-02-23,0.6,0.8,0.8,2a
9,0.5,0.23589722381680348,0.17527683432181076,-0.10763905877813965,0.5794335064117466,0.26410277618319655,0.06975027638767162,1,0.95,0.6870725651898862,2.79472907933481,1.4807842318751856,1.6074980753507844,1.0252331172407467,2.070402496825338,0.003568854638709545,0,2023-02-23,0.6,0.8,0.8,2a
10,0.5,0.5513018978449307,0.07289518883922301,0.4084299530738075,0.6941738426160539,0.051301897844930666,0.0026318847224917016,1,0.95,0.2857438895422464,2.165978672191651,2.287111933897723,1.6074980753507844,1.0252331172407467,1.0304442014351747,1.9045903806688296,0,2023-02-23,0.6,0.8,0.8,2a
11,0.5,0.7816360273329686,0.11530448896796869,0.555643381699954,1.0076286729659831,0.28163602733296855,0.07931885189189661,0,0.95,0.45198529126602915,2.165978672191651,1.5234186705726414,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.9479191204989035,0,2023-02-23,0.6,0.8,0.8,2a
12,0.5,0.8273606942835016,0.16861337843917953,0.4968845452310872,1.1578368433359159,0.32736069428350156,0.10716502416177617,1,0.95,0.6609522981048286,2.165978672191651,1.2130586388611504,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.47178157998040104,0,2023-02-23,0.6,0.8,0.8,2a
13,0.5,0.7891713419181996,0.2166153789200945,0.36461300073731756,1.2137296830990816,0.2891713419181996,0.0836200649867723,1,0.95,0.849116682361764,2.165978672191651,1.0432007703048267,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.23480680407802892,0,2023-02-23,0.6,0.8,0.8,2a
14,0.5,0.7192569430109439,0.2550279927240264,0.21941126222230922,1.2191026237995786,0.2192569430109439,0.048073607058504296,1,0.95,0.9996913615772693,2.165978672191651,0.9670748526578403,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.11686389969618632,0,2023-02-23,0.6,0.8,0.8,2a
15,0.5,0.5549305166897811,0.23910102894761195,0.08630111128599277,1.0235599220935694,0.054930516689781106,0.0030173616638063208,1,0.95,0.9372588108075766,2.165978672191651,1.036307914230776,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.058163438260766365,0,2023-02-23,0.6,0.8,0.8,2a
16,0.5,0.3797170205584467,0.20160433511708006,-0.015420215398173898,0.7748542565150673,0.1202829794415533,0.014467995143337135,1,0.95,0.7902744719132413,2.165978672191651,1.1743909059773614,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.02894808028064101,0,2023-02-23,0.6,0.8,0.8,2a
17,0.5,0.2861344734063945,0.16905844834322897,-0.04521399662855946,0.6174829434413485,0.21386552659360553,0.045738463465160195,1,0.95,0.6626969400699079,2.165978672191651,1.3172896702686745,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.014407527769892802,0,2023-02-23,0.6,0.8,0.8,2a
18,0.5,0.2372627181380042,0.1471070990126691,-0.05106189779699499,0.5255873340730034,0.2627372818619958,0.06903087928022983,1,0.95,0.5766492318699984,2.165978672191651,1.4202755663220057,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.007170660521452572,0,2023-02-23,0.6,0.8,0.8,2a
19,0.5,0.2228257430013603,0.135530740235632,-0.042809626658532024,0.4884611126612526,0.27717425699863973,0.07682556874274798,0,0.95,0.5312707393197846,2.165978672191651,1.4807842318751856,1.6074980753507844,1.0252331172407467,1.0304442014351747,0.003568854638709545,0,2023-02-23,0.6,0.8,0.8,2a
20,0.5,0.3512006748094728,0.06599339570776731,0.2218559960047487,0.4805453536141969,0.1487993251905272,0.02214123917715626,0,0.95,0.2586893576094482,1.7117328571714427,2.287111933897723,1.6074980753507844,1.0252331172407467,0.5128545072272247,1.9045903806688296,0,2023-02-23,0.6,0.8,0.8,2a
21,0.5,0.5555023459261481,0.09946847003156624,0.3605477270669766,0.7504569647853196,0.05550234592614811,0.00308051040330581,1,0.95,0.38990923771834307,1.7117328571714427,1.5234186705726414,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.9479191204989035,0,2023-02-23,0.6,0.8,0.8,2a
22,0.5,0.6657466421797184,0.1323107564551119,0.40642232476044854,0.9250709595989881,0.16574664217971835,0.02747194939385159,1,0.95,0.5186486348385395,1.7117328571714427,1.2130586388611504,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.47178157998040104,0,2023-02-23,0.6,0.8,0.8,2a
23,0.5,0.6999966234023955,0.16415940852803304,0.3782500949640534,1.0217431518407376,0.19999662340239555,0.039998649372359626,1,0.95,0.6434930568766842,1.7117328571714427,1.0432007703048267,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.23480680407802892,0,2023-02-23,0.6,0.8,0.8,2a
24,0.5,0.664410866202061,0.19523682987502525,0.2817537111912379,1.0470680212128842,0.16441086620206102,0.02703093292531201,1,0.95,0.7653143100216464,1.7117328571714427,0.9670748526578403,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.11686389969618632,0,2023-02-23,0.6,0.8,0.8,2a
25,0.5,0.5217156524517373,0.1841864195545192,0.16071690368349578,0.8827144012199789,0.021715652451737344,0.0004715695614046461,1,0.95,0.7219974975364831,1.7117328571714427,1.036307914230776,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.058163438260766365,0,2023-02-23,0.6,0.8,0.8,2a
26,0.5,0.36817443177702075,0.15741559551899775,0.05964553395486044,0.6767033295991811,0.13182556822297925,0.017377980437311355,1,0.95,0.6170577956443206,1.7117328571714427,1.1743909059773614,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.02894808028064101,0,2023-02-23,0.6,0.8,0.8,2a
27,0.5,0.2714760241998358,0.13318400432259994,0.010440172410713044,0.5325118759889585,0.2285239758001642,0.052223207515514035,1,0.95,0.5220717035782455,1.7117328571714427,1.3172896702686745,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.014407527769892802,0,2023-02-23,0.6,0.8,0.8,2a
28,0.5,0.21983909464210755,0.11608801933909484,-0.007689242299107613,0.4473674315833227,0.28016090535789245,0.07849013289095397,0,0.95,0.4550566738824303,1.7117328571714427,1.4202755663220057,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.007170660521452572,0,2023-02-23,0.6,0.8,0.8,2a
29,0.5,0.20372003664903302,0.10616988222948816,-0.00436910876362287,0.4118091820616889,0.29627996335096696,0.08778181668325033,0,0.95,0.41617829082531177,1.7117328571714427,1.4807842318751856,1.6074980753507844,1.0252331172407467,0.5128545072272247,0.003568854638709545,0,2023-02-23,0.6,0.8,0.8,2a
30,0.5,0.24075058687019077,0.060783804940264856,0.12161651834396384,0.3598846553964177,0.2592494131298092,0.06721025820815049,0,0.95,0.23826813705245384,1.4588246379014074,2.287111933897723,1.6074980753507844,1.0252331172407467,0.2552488967543829,1.9045903806688296,0,2023-02-23,0.6,0.8,0.8,2a
31,0.5,0.4165773334284604,0.0906851837005583,0.23883763944396738,0.5943170274129533,0.08342266657153963,0.006959341297906275,1,0.95,0.3554793879689859,1.4588246379014074,1.5234186705726414,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.9479191204989035,0,2023-02-23,0.6,0.8,0.8,2a
32,0.5,0.5433753593934089,0.11565218217194939,0.31670124760292273,0.770049471183895,0.04337535939340886,0.0018814218025073825,1,0.95,0.45334822358097226,1.4588246379014074,1.2130586388611504,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.47178157998040104,0,2023-02-23,0.6,0.8,0.8,2a
33,0.5,0.6153251213999228,0.13759973139656978,0.3456346035802607,0.8850156392195849,0.11532512139992279,0.01329988362590693,1,0.95,0.5393810356393243,1.4588246379014074,1.0432007703048267,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.23480680407802892,0,2023-02-23,0.6,0.8,0.8,2a
34,0.5,0.6156966159980516,0.16081181675699172,0.3005112468658931,0.9308819851302101,0.11569661599805159,0.013385706953400607,1,0.95,0.6303707382643171,1.4588246379014074,0.9670748526578403,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.11686389969618632,0,2023-02-23,0.6,0.8,0.8,2a
35,0.5,0.5015098925284348,0.1501369784019081,0.20724682211302697,0.7957729629438426,0.0015098925284348086,2.279775447423259e-06,1,0.95,0.5885261408308156,1.4588246379014074,1.036307914230776,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.058163438260766365,0,2023-02-23,0.6,0.8,0.8,2a
36,0.5,0.3726328547320931,0.12828063205556242,0.1212074359891564,0.6240582734750298,0.12736714526790688,0.016222389693696094,1,0.95,0.5028508374858734,1.4588246379014074,1.1743909059773614,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.02894808028064101,0,2023-02-23,0.6,0.8,0.8,2a
37,0.5,0.2730712825255277,0.1094613932916565,0.0585308939763067,0.4876116710747487,0.2269287174744723,0.05149664281460887,0,0.95,0.42908077709844195,1.4588246379014074,1.3172896702686745,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.014407527769892802,0,2023-02-23,0.6,0.8,0.8,2a
38,0.5,0.2163420921721252,0.09718751516423828,0.025858062703277812,0.40682612164097254,0.2836579078278748,0.08046180867328712,0,0.95,0.3809680589376947,1.4588246379014074,1.4202755663220057,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.007170660521452572,0,2023-02-23,0.6,0.8,0.8,2a
39,0.5,0.1975671162410865,0.08967549285965211,0.021806379940289583,0.3733278525418834,0.30243288375891353,0.0914656491787325,0,0.95,0.35152147260159383,1.4588246379014074,1.4807842318751856,1.6074980753507844,1.0252331172407467,0.2552488967543829,0.003568854638709545,0,2023-02-23,0.6,0.8,0.8,2a
40,0.5,0.1925776146656052,0.05741241914200889,0.08005134088194978,0.3051038884492606,0.3074223853343948,0.09450852300468912,0,0.95,0.22505254756731086,1.4375853959543903,2.287111933897723,1.6074980753507844,1.0252331172407467,0.12703797739163378,1.9045903806688296,0,2023-02-23,0.6,0.8,0.8,2a
41,0.5,0.357266197483479,0.08464400494191214,0.19136699629010084,0.5231653986768572,0.142733802516521,0.02037293838082522,1,0.95,0.33179840238675634,1.4375853959543903,1.5234186705726414,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.9479191204989035,0,2023-02-23,0.6,0.8,0.8,2a
42,0.5,0.49339803271090804,0.10858349355330166,0.2805782960308997,0.7062177693909164,0.006601967289091959,4.358597208624023e-05,1,0.95,0.42563947336001673,1.4375853959543903,1.2130586388611504,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.47178157998040104,0,2023-02-23,0.6,0.8,0.8,2a
43,0.5,0.5723967203981937,0.12870533981904098,0.3201388897348844,0.8246545510615029,0.07239672039819367,0.0052412851244142316,1,0.95,0.5045156613266184,1.4375853959543903,1.0432007703048267,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.23480680407802892,0,2023-02-23,0.6,0.8,0.8,2a
44,0.5,0.6143371909596242,0.1499775573975209,0.3203865799711946,0.9082878019480539,0.11433719095962425,0.013072993236537581,1,0.95,0.5879012219768593,1.4375853959543903,0.9670748526578403,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.11686389969618632,0,2023-02-23,0.6,0.8,0.8,2a
45,0.5,0.5407506638719034,0.14220622484135495,0.26203158480544253,0.8194697429383643,0.0407506638719034,0.0016606166060008532,1,0.95,0.5574381581329217,1.4375853959543903,1.036307914230776,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.058163438260766365,0,2023-02-23,0.6,0.8,0.8,2a
46,0.5,0.43555796495502785,0.12138106694562231,0.1976554453365629,0.6734604845734928,0.06444203504497215,0.004152775880737418,1,0.95,0.47580503923692996,1.4375853959543903,1.1743909059773614,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.02894808028064101,0,2023-02-23,0.6,0.8,0.8,2a
47,0.5,0.3275946159730351,0.10358235118645649,0.12457693821360061,0.5306122937324695,0.17240538402696493,0.029723616441485252,1,0.95,0.40603535551886893,1.4375853959543903,1.3172896702686745,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.014407527769892802,0,2023-02-23,0.6,0.8,0.8,2a
48,0.5,0.2601394378164529,0.09245373836867646,0.0789334403777581,0.4413454352551477,0.23986056218354712,0.057533089291007276,0,0.95,0.3624119948773896,1.4375853959543903,1.4202755663220057,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.007170660521452572,0,2023-02-23,0.6,0.8,0.8,2a
49,0.5,0.23574476863760407,0.0863022372706716,0.06659549180185739,0.4048940454733507,0.2642552313623959,0.0698308273023934,0,0.95,0.3382985536714933,1.4375853959543903,1.4807842318751856,1.6074980753507844,1.0252331172407467,0.12703797739163378,0.003568854638709545,0,2023-02-23,0.6,0.8,0.8,2a
50,0.5,0.14722141050154564,0.05319618769801695,0.04295879849859974,0.25148402250449153,0.35277858949845436,0.12445273320851898,0,0.95,0.2085252240058918,1.361146690675989,2.287111933897723,1.6074980753507844,1.0252331172407467,0.06322710070432513,1.9045903806688296,0,2023-02-23,0.6,0.8,0.8,2a
51,0.5,0.2777821046897499,0.07843826110182212,0.1240459379202295,0.4315182714592703,0.2222178953102501,0.04938079299611727,0,0.95,0.3074723335390408,1.361146690675989,1.5234186705726414,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.9479191204989035,0,2023-02-23,0.6,0.8,0.8,2a
52,0.5,0.38910311321305113,0.10045490764015338,0.19221511216805298,0.5859911142580493,0.11089688678694887,0.012298119499037355,1,0.95,0.3937760020899963,1.361146690675989,1.2130586388611504,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.47178157998040104,0,2023-02-23,0.6,0.8,0.8,2a
53,0.5,0.46861017102632935,0.11989005121468403,0.2336299885408861,0.7035903535117726,0.03138982897367065,0.0009853213629962936,1,0.95,0.46996036497088645,1.361146690675989,1.0432007703048267,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.23480680407802892,0,2023-02-23,0.6,0.8,0.8,2a
54,0.5,0.5244074496168347,0.1368270652448143,0.25623132962668654,0.792583569606983,0.02440744961683472,0.0005957235967983253,1,0.95,0.5363522399802965,1.361146690675989,0.9670748526578403,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.11686389969618632,0,2023-02-23,0.6,0.8,0.8,2a
55,0.5,0.49924136448486406,0.12964789962416595,0.2451361505502348,0.7533465784194933,0.0007586355151359414,5.755278448255752e-07,1,0.95,0.5082104278692585,1.361146690675989,1.036307914230776,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.058163438260766365,0,2023-02-23,0.6,0.8,0.8,2a
56,0.5,0.43172808206070556,0.11171973922461159,0.21276141681826005,0.650694747303151,0.06827191793929444,0.004661054779109754,1,0.95,0.43793333048489097,1.361146690675989,1.1743909059773614,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.02894808028064101,0,2023-02-23,0.6,0.8,0.8,2a
57,0.5,0.3373963435381474,0.09572535214061177,0.14977810093513416,0.5250145861411606,0.1626036564618526,0.026439949094764176,1,0.95,0.3752364852060264,1.361146690675989,1.3172896702686745,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.014407527769892802,0,2023-02-23,0.6,0.8,0.8,2a
58,0.5,0.26964623918869407,0.08596621026686738,0.1011555631782366,0.43813691519915154,0.23035376081130593,0.05306285511991234,0,0.95,0.33698135202091495,1.361146690675989,1.4202755663220057,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.007170660521452572,0,2023-02-23,0.6,0.8,0.8,2a
59,0.5,0.2448867772448058,0.08123902345593471,0.08566121713196909,0.4041123373576425,0.2551132227551942,0.06508275642454134,0,0.95,0.31845112022567346,1.361146690675989,1.4807842318751856,1.6074980753507844,1.0252331172407467,0.06322710070432513,0.003568854638709545,0,2023-02-23,0.6,0.8,0.8,2a
60,0.5,0.14293100991891977,0.05099153955848395,0.04298942886804179,0.24287259096979774,0.35706899008108023,0.12749826367752257,0,0.95,0.19988316210175594,1.3092281457158197,2.287111933897723,1.6074980753507844,1.0252331172407467,0.031468277010982565,1.9045903806688296,0,2023-02-23,0.6,0.8,0.8,2a
61,0.5,0.25928435382872805,0.07765620490168507,0.1070809890453625,0.4114877186120936,0.24071564617127195,0.05794402231165299,0,0.95,0.3044067295667311,1.3092281457158197,1.5234186705726414,1.6074980753507844,1.0252331172407467,0.031468277010982565,0.9479191204989035,0,2023-02-23,0.6,0.8,0.8,2a
62,0.5,0.35190668547387544,0.0997651071570289,0.15637066853231962,0.5474427024154312,0.14809331452612456,0.021931629807333656,1,0.95,0.3910720338831116,1.3092281457158197,1.2130586388611504,1.6074980753507844,1.0252331172407467,0.031468277010982565,0.47178157998040104,0,2023-02-23,0.6,0.8,0.8,2a
63,0.5,0.42144843703974555,0.12029927849695496,0.18566618381956007,0.657230690259931,0.07855156296025445,0.006170348043498819,1,0.95,0.4715645064403709,1.3092281457158197,1.0432007703048267,1.6074980753507844,1.0252331172407467,0.031468277010982565,0.23480680407802892,0,2023-02-23,0.6,0.8,0.8,2a
64,0.5,0.4670811058052402,0.13506525995192337,0.2023580607369303,0.7318041508735501,0.032918894194759796,0.0010836535950057903,1,0.95,0.5294460901366198,1.3092281457158197,0.9670748526578403,1.6074980753507844,1.0252331172407467,0.031468277010982565,0.11686389969618632,0,2023-02-23,0.6,0.8,0.8,2a
65,0.5,0.4521817211772023,0.12435749710231028,0.20844550564913,0.6959179367052746,0.04781827882279771,0.002286587789574824,1,0.95,0.4874724310561446,1.3092281457158197,1.036307914230776,1.6074980753507844,1.0252331172407467,0.031468277010982565,0.058163438260766365,0,2023-02-23,0.6,0.8,0.8,2a
66,0.5,0.39885803368933004,0.10756688159991332,0.1880308198242157,0.6096852475544443,0.10114196631066996,0.010229697349188698,1,0.95,0.4216544277302286,1.3092281457158197,1.1743909059773614,1.6074980753507844,1.0252331172407467,0.031468277010982565,0.02894808028064101,0,2023-02-23,0.6,0.8,0.8,2a
67,0.5,0.3178439264211244,0.09277691076680451,0.1360045227213012,0.4996833301209476,0.1821560735788756,0.033180835141672735,0,0.95,0.3636788073996464,1.3092281457158197,1.3172896702686745,1.6074980753507844,1.0252331172407467,0.031468277010982565,0.014407527769892802,0,2023-02-23,0.6,0.8,0.8,2a
68,0.5,0.2562482607953718,0.08368054394911603,0.09223740844838321,0.4202591131423603,0.24375173920462823,0.05941491036528109,0,0.95,0.32802170469397707,1.3092281457158197,1.4202755663220057,1.6074980753507844,1.0252331172407467,0.031468277010982565,0.007170660521452572,0,2023-02-23,0.6,0.8,0.8,2a
