"","fname","DGPid","Y.cont","bias","rel.bias","sd","rel.sd","rMSE","coverage","CIwidth"
"455","psc",7,1,0.1723530920601,103.155737488973,0.0606074378616564,1.18602568977859,0.182598240001349,0,0.0581054094786
"456","psc",8,1,0.10441642960358,2.89271087131879,0.0770512013925514,4.04541347938554,0.129538834064672,0.24,0.114473142643
"457","psc",9,1,-6.7308973247583,654.372544450074,2.33718881948854,11.3976743624877,7.12129242894864,0.01,1.30891205409
"458","psc",10,1,-4.1024139800725,7830.76559976424,2.5689969897392,21.2998363042865,4.8335854747641,0.04,1.303453025473
"459","psc",11,1,-5.1085778106971,27.7224734847212,1.84531005515498,13.5043699907135,5.42850667823171,0.03,1.68347651706
"460","psc",12,1,2.4207294475237,34.5066985263925,0.336163363019248,0.393753739279095,2.44372805497634,0,0.2311307780399
"461","psc",13,1,0.635692478615345,860.477398854949,0.0676719650152041,1.68536938985609,0.63924848632488,0,0.063384065351711
"462","psc",14,1,-18.7061816846488,21.8774468485513,6.61902568968864,3.28607032456758,19.8316569980685,0.01,7.2343052677
"463","psc",15,1,0.237216042464572,389.573712937341,0.0642434257816456,2.52438635833783,0.245677423425828,0.02,0.099974167920808
"464","psc",16,1,-1.16856793735413,3692.19441025126,0.144391660444403,2.60934499726004,1.17736633479216,0,0.143999983649478
"465","psc",25,0,0.058923559344019,109.829975257899,0.0247700814789144,1.44335932939667,0.0638702373009171,0.12,0.056306397843
"466","psc",26,0,-0.006593736582286,6.64781171356886,0.0275012733872599,1.44047642552366,0.0281466552126212,0.67,0.055473801948
"467","psc",27,0,-0.045871266544279,13.4399892935808,0.027485480660551,1.17813912494247,0.0534047771743914,0.22,0.055532365886
"468","psc",28,0,0.018271586198554,30.8333393847464,0.0279860661625502,1.35317511183036,0.0333052332595536,0.55,0.056166314046
"469","psc",45,0,-0.074813206925664,73.278384099439,0.0243026085682074,1.05917877085112,0.0786239565647108,0.02,0.0357976460382
"470","psc",46,0,-0.084418931033018,31.6466244458808,0.0289370945797727,1.38265851879404,0.0891938215632057,0.03,0.0414580598497
"471","psc",47,0,-0.07854905886622,26.3672133173212,0.0265438057128014,1.36533639356883,0.0828702753360374,0.03,0.03958602378161
"472","psc",48,0,-0.072325206194995,33.3651669969443,0.0375346974777443,1.84551951086176,0.0813984055786529,0.08,0.0490763080908
"473","psc",49,0,-0.089679096491853,41.6564754325583,0.0285629727880364,1.29959066883707,0.0940745732275214,0.03,0.047199979797
"474","psc",50,0,-0.088021538391673,69.2528706929779,0.0288657662810953,1.12828145347027,0.0925888295595189,0.02,0.0471926391926
"475","psc",51,0,-0.091005485229164,120.52307713463,0.022160690972173,0.786360886628674,0.0936385796769478,0.01,0.03175744646055
