,coef,2.5%,97.5%,tune_loss_mlg,tune_loss_mlm,fs_loss_mlg,fs_loss_mlm
0,2.2930041291649332,2.1769500096031194,2.409058248726747,,,1.7459849445066362,0.6949801642030142
1,2.3393779972432687,2.220023173941813,2.4587328205447245,,,1.8968888784850042,0.68915976218109
2,2.0900127451143318,1.9756741303974332,2.20435135983123,,,1.6869190828105547,0.6937006006793901
3,2.269416650057739,2.1562690092930232,2.3825642908224545,,,1.6775096612450702,0.693341757411232
4,2.2607839369839375,2.144482549009567,2.377085324958308,,,1.7558198139046213,0.6909591519585667
5,2.279822133277349,2.155349378661993,2.404294887892705,,,2.0191991080643676,0.6932638464522475
6,2.230744964695286,2.113390707210688,2.3480992221798838,,,1.8328712599678052,0.6916129475296356
7,2.2213439951483314,2.108699378953927,2.3339886113427357,,,1.662718153915735,0.6968270384054248
8,2.2464455922992856,2.1263035957384253,2.366587588860146,,,1.862333009109602,0.6903105665585508
9,2.25025426720988,2.131545890982914,2.368962643436846,,,1.86526530469819,0.6896950340764565
10,2.2062062586232365,2.0924434342651406,2.3199690829813324,,,1.673477712319953,0.6943780180752785
11,2.332246992276903,2.212502488405969,2.4519914961478366,,,1.8682382082621538,0.6922826119944893
12,2.0535436473773774,1.9356026329682698,2.1714846617864847,,,1.8279744817784866,0.6883480526222694
13,2.1701004894743425,2.049659524471442,2.290541454477243,,,1.8622369275263477,0.6909641963122017
14,2.203747958563722,2.0827009764581654,2.3247949406692787,,,1.9414550096019403,0.6890606833337046
15,2.2300664394137995,2.112036633056904,2.348096245770695,,,1.791165503155974,0.6920885156247775
16,2.2199408176959823,2.0969032870858766,2.342978348306088,,,2.0298972110917624,0.6909449047774763
17,2.210596636816663,2.0942143088559373,2.326978964777389,,,1.7845065958597779,0.689768761496518
18,2.1296928452260664,2.014191436582283,2.2451942538698497,,,1.7306893507450314,0.6933410016453528
19,2.2192964108426816,2.1035479853526513,2.335044836332712,,,1.7143649787123034,0.696294991454555
20,2.2016077783048242,2.083364580773414,2.3198509758362347,,,1.830108493360889,0.6881765180678531
21,2.2252803328415274,2.10965566160157,2.3409050040814847,,,1.7755488535791897,0.6863091140153977
22,2.251785131045829,2.134149927904523,2.3694203341871347,,,1.8397081572583318,0.6916576566960949
23,2.1995989254262884,2.0774185969554675,2.3217792538971094,,,1.988983478730268,0.693153376654773
24,2.117794657613474,2.001525185337944,2.2340641298890036,,,1.7429562041297422,0.6889530856337888
25,2.191038152265397,2.0753488942904212,2.3067274102403728,,,1.748534180763293,0.6922478149646737
26,2.096312763887039,1.9749172761693385,2.2177082516047397,,,1.9310166512417262,0.6875314104606606
27,2.2076591803350873,2.082432212556429,2.3328861481137455,,,2.0285914254954758,0.6896489279461071
28,2.162195586616972,2.0413443764418546,2.2830467967920893,,,1.8874874003825437,0.6896436672809991
29,2.2026386256355255,2.0914725295285628,2.313804721742488,,,1.6117496694132345,0.6951439691797232
30,2.16903205621069,2.050777175728013,2.287286936693367,,,1.847804271400103,0.6936606129212216
