,coef,2.5%,97.5%,tune_loss_mll,tune_loss_mlm,loss_Y,fs_loss_mll,fs_loss_mlm
0,54.44115765047663,49.992381603615016,58.88993369733825,1647.922291132373,0.6470617872521989,1588.1914156059358,1580.1439692798704,0.6436627483880187
1,56.218719553996735,52.026677817735894,60.410761290257575,1851.4098024505015,0.6681278275095555,1926.229868217149,1879.0993944903048,0.6754720715373775
2,61.57767261920918,57.52669478261353,65.62865045580483,1915.1330402117114,0.6663397020670733,1970.1738389668024,1904.5808372937079,0.6618554216671547
3,53.37658043605409,48.913315027112176,57.839845844996006,1919.6465256599063,0.6526161646419254,1939.0802212560225,1875.1026623173816,0.654575617060133
4,58.53026492199761,53.74341097547706,63.317118868518165,1908.7954079128122,0.6531891044210121,2126.801177307012,2011.875785366103,0.6587755245812996
5,53.19590533897861,48.50961307483878,57.88219760311844,1676.4319900547373,0.6536022660203376,1788.4127093179286,1741.560958556582,0.6561827030971066
6,56.492233320518146,52.411979561219596,60.572487079816696,1750.6363403151984,0.6632891575423877,1685.3097408976537,1721.7751869293907,0.6684373120964467
7,56.59827428760731,52.19687984026663,60.99966873494799,1830.7815882834711,0.6528761266426775,2003.7597143172284,1864.9402792294245,0.66095368060811
8,57.079390090893405,53.08245900055765,61.07632118122916,1824.4147310299827,0.6610714847800996,1867.9203257695951,1743.9734748208493,0.6637881727337551
9,57.74431131438884,53.76218984632548,61.7264327824522,1711.1668979178546,0.6548036121264859,1691.6224125563017,1674.362457647615,0.6558167822481235
10,63.623125909742406,57.257826381825666,69.98842543765915,3600.785644532687,0.6432210997288655,3633.6303010716183,3622.4566930065903,0.6505898394755791
11,56.53841208213447,52.12262896924794,60.954195195021,1973.9284764588301,0.6602290187865071,2156.737904985308,2025.0171964134781,0.664708078826795
12,56.69053055860196,52.44840345668875,60.93265766051516,1774.3977424320306,0.6506803126526084,1748.90568616826,1741.705396608718,0.6534811792240673
13,56.920331909097825,52.46058083283167,61.380082985363984,1867.8584470958783,0.6625122871344175,1817.9228233791948,1836.1605881359385,0.6625051960732703
14,59.837309822886716,54.29466137454952,65.37995827122391,2221.880774759344,0.6609008364367842,2464.838535301639,2421.3353623909484,0.6647882798550473
15,55.22194623940571,50.7527899526686,59.69110252614282,1759.369906563079,0.6608870339243588,1786.059941848911,1752.4302048713569,0.6660530138925321
16,57.118311130769044,51.77447519623442,62.46214706530367,2168.7906880503874,0.6528044142974803,2475.283249233492,2334.1420984822744,0.6543131336883894
17,54.7705084969491,50.69660117640558,58.84441581749262,1691.8831720667604,0.6508313291941521,1678.440458357521,1647.1600215139063,0.6589680858088895
18,53.34946481090381,48.775306930818076,57.923622690989546,1871.4997851194676,0.6688014946245588,2044.5171401473046,1995.7894439103668,0.6719432287481586
19,55.9694670969179,51.17306196486479,60.76587222897101,1882.3426409176377,0.6528958633167227,2066.92086223386,2003.352246936097,0.6527571600888934
20,59.07659454814757,54.905123871165756,63.24806522512938,1891.1792192915768,0.6648769007814374,1979.8453479016841,1905.3000795504356,0.6683660756848467
21,54.340106806639966,50.02195346343423,58.6582601498457,1693.9593127966302,0.6436389429327827,1887.4864406415238,1716.0459775234256,0.6471732726474466
22,56.39314323267326,52.283936819500845,60.502349645845676,1724.8534457616854,0.66321926506158,1871.361791502252,1778.9333498813453,0.6654720882413642
23,55.54881664031868,50.90005514099235,60.197578139645,1948.107703202992,0.6588804805614227,1959.1724040620838,1935.1322363352776,0.6640904062880506
24,59.687704903492005,55.07105884285597,64.30435096412805,1847.5232372288847,0.6560004899373975,1822.2311994165136,1878.955507123078,0.6558581603142851
25,56.24304960921206,52.13237386154074,60.35372535688337,1794.2429995423395,0.6634026970712751,1977.0935907914752,1849.5904264839453,0.6634596404443756
26,56.14448909774879,51.6560942120723,60.63288398342528,1970.3292004764153,0.6676755707328645,2023.602312754604,1932.7772165201604,0.6669991135204173
27,57.55940262079996,52.671664332374476,62.44714090922544,2088.3166298499746,0.651716072161339,2023.6187505475696,2014.2770363497668,0.651099073784995
28,57.10629343552442,52.73031171069064,61.4822751603582,2127.464857400625,0.6722250629269332,1990.7728900818618,2002.8352256504415,0.6748331110890868
29,58.72181685584387,53.937250537854865,63.50638317383287,2004.1301441833452,0.6462821873083381,2063.7235360184754,2039.6199518626977,0.6538896714908708
