,coef,2.5%,97.5%,tune_loss_mll,tune_loss_mlm,est_mll,est_mlm,config_mll,config_mlm,loss_Y,fs_loss_mll,fs_loss_mlm
0,1.0576297071471017,0.9236719695246483,1.1915874447695551,1.3487423349317837,0.6559865780028642,lgbm,xgboost,"{'n_estimators': 59, 'num_leaves': 11, 'min_child_samples': 13, 'learning_rate': 0.15970689583429434, 'log_max_bin': 8, 'colsample_bytree': 0.5314735786211692, 'reg_alpha': 0.0048030173757374235, 'reg_lambda': 0.001284538276225098}","{'n_estimators': 4, 'max_leaves': 4, 'min_child_weight': 0.13547281170838388, 'learning_rate': 0.5444158565416849, 'subsample': 0.8751699349090458, 'colsample_bylevel': 0.8908741422408678, 'colsample_bytree': 0.8797306393078957, 'reg_alpha': 0.005329657604916949, 'reg_lambda': 0.4012516825561559}",1.3573353467805664,1.427045576990881,0.7033195343075825
1,0.8002703061654869,0.6640412185382367,0.9364993937927371,1.399252378965236,0.65309908679303,xgboost,xgb_limitdepth,"{'n_estimators': 11, 'max_leaves': 4, 'min_child_weight': 0.26181500226749693, 'learning_rate': 0.3355761713933855, 'subsample': 0.8250927767128501, 'colsample_bylevel': 0.8095497908693721, 'colsample_bytree': 0.9351943119211954, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.11959281465436916}","{'n_estimators': 10, 'max_depth': 5, 'min_child_weight': 27.123547475701166, 'learning_rate': 0.4491593859507105, 'subsample': 0.9246883402776725, 'colsample_bylevel': 0.898014219139486, 'colsample_bytree': 0.9238615531554782, 'reg_alpha': 0.0012834136471904583, 'reg_lambda': 8.519631194693332}",1.2504137642347561,1.3674743140445695,0.6891013852534743
2,0.8843343177524937,0.7364556042728821,1.0322130312321054,1.1261556799838817,0.605858068401907,xgb_limitdepth,xgb_limitdepth,"{'n_estimators': 4, 'max_depth': 3, 'min_child_weight': 0.3366841623565722, 'learning_rate': 0.6873977691840188, 'subsample': 0.9603062701962963, 'colsample_bylevel': 0.8820072449625802, 'colsample_bytree': 1.0, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.13709227863983406}","{'n_estimators': 10, 'max_depth': 5, 'min_child_weight': 27.123547475701166, 'learning_rate': 0.4491593859507105, 'subsample': 0.9246883402776725, 'colsample_bylevel': 0.898014219139486, 'colsample_bytree': 0.9238615531554782, 'reg_alpha': 0.0012834136471904583, 'reg_lambda': 8.519631194693332}",1.476878881208121,1.5831623985229366,0.6688069041457112
3,0.8144948369961751,0.6618540122919421,0.9671356617004081,1.3970016459326897,0.595680647401833,lgbm,xgboost,"{'n_estimators': 5, 'num_leaves': 4, 'min_child_samples': 11, 'learning_rate': 1.0, 'log_max_bin': 10, 'colsample_bytree': 1.0, 'reg_alpha': 0.0152526021894595, 'reg_lambda': 0.08884932549444023}","{'n_estimators': 29, 'max_leaves': 9, 'min_child_weight': 0.05552102172702943, 'learning_rate': 0.25977446100088036, 'subsample': 1.0, 'colsample_bylevel': 0.7821610185323866, 'colsample_bytree': 0.7522398796168348, 'reg_alpha': 0.020748305869456335, 'reg_lambda': 0.20329757497906345}",1.6432556968032341,1.724914398519441,0.7371046947426877
4,0.8799010068680719,0.7407567138332827,1.0190452999028612,1.587589737231952,0.6523136882220998,lgbm,xgb_limitdepth,"{'n_estimators': 31, 'num_leaves': 6, 'min_child_samples': 28, 'learning_rate': 0.14653642792447463, 'log_max_bin': 7, 'colsample_bytree': 0.7029035189973062, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.4147458212538551}","{'n_estimators': 5, 'max_depth': 6, 'min_child_weight': 0.5583986612098792, 'learning_rate': 0.16507461256849398, 'subsample': 0.7499849561081569, 'colsample_bylevel': 0.8522480567643952, 'colsample_bytree': 1.0, 'reg_alpha': 0.009153380927903328, 'reg_lambda': 7.049249622322388}",1.4465451451521063,1.4945309351573848,0.6962344303318598
5,0.830271043700795,0.6930768948641297,0.9674651925374602,1.2738475756508434,0.6462306141611914,lgbm,extra_tree,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 14, 'learning_rate': 0.6450159689052979, 'log_max_bin': 7, 'colsample_bytree': 1.0, 'reg_alpha': 0.0019061598045604913, 'reg_lambda': 1.9823904534309267}","{'n_estimators': 6, 'max_leaves': 15, 'max_features': 0.9804101965607068, 'criterion': 'gini'}",1.323975582401481,1.3885836821455115,0.6888484973819454
6,0.7618011116314701,0.6310667835733986,0.8925354396895416,1.3249316828729616,0.6439842502130013,lgbm,xgboost,"{'n_estimators': 150, 'num_leaves': 4, 'min_child_samples': 3, 'learning_rate': 0.08454479375815759, 'log_max_bin': 9, 'colsample_bytree': 1.0, 'reg_alpha': 0.006553917984433999, 'reg_lambda': 4.987834747816196}","{'n_estimators': 4, 'max_leaves': 9, 'min_child_weight': 0.01979672299775578, 'learning_rate': 0.5236659421891822, 'subsample': 0.5388299071897007, 'colsample_bylevel': 0.9801399951593921, 'colsample_bytree': 0.9986639108743721, 'reg_alpha': 0.0030104035674274093, 'reg_lambda': 0.003819419030755874}",1.3396289940079582,1.4074616549558854,0.7853064494131252
7,0.7869672656150163,0.6362992361673632,0.9376352950626694,1.041362930809156,0.5896444055969353,rf,lgbm,"{'n_estimators': 4, 'max_features': 1.0, 'max_leaves': 449}","{'n_estimators': 6, 'num_leaves': 4, 'min_child_samples': 7, 'learning_rate': 0.817112341507195, 'log_max_bin': 9, 'colsample_bytree': 0.927943243680621, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.5777342895955387}",1.6197956354792555,1.6869704238809369,0.7189016862515398
8,0.7607138031277251,0.6249799766421753,0.8964476296132748,1.1460907980584552,0.622333720034244,lgbm,xgboost,"{'n_estimators': 78, 'num_leaves': 4, 'min_child_samples': 5, 'learning_rate': 0.1791503576644299, 'log_max_bin': 10, 'colsample_bytree': 0.7289206312068428, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.9383702427933415}","{'n_estimators': 18, 'max_leaves': 7, 'min_child_weight': 0.5376282437572996, 'learning_rate': 0.27584541108691185, 'subsample': 0.8955149965812814, 'colsample_bylevel': 0.7733709446610099, 'colsample_bytree': 0.8997712816731301, 'reg_alpha': 0.012133619071424132, 'reg_lambda': 10.171614187738257}",1.274840044451141,1.3292707670063286,0.689135848248747
9,0.8374856132029377,0.707096623246966,0.9678746031589094,1.3958149813309138,0.6506970092362049,lgbm,xgb_limitdepth,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 10, 'learning_rate': 0.7006829990759997, 'log_max_bin': 10, 'colsample_bytree': 0.9393827246032028, 'reg_alpha': 0.07942226134797405, 'reg_lambda': 4.477783510961221}","{'n_estimators': 28, 'max_depth': 7, 'min_child_weight': 3.4677261931689682, 'learning_rate': 0.14443239810276845, 'subsample': 1.0, 'colsample_bylevel': 0.7943810262685714, 'colsample_bytree': 0.8499027725496043, 'reg_alpha': 0.0015851927568202393, 'reg_lambda': 7.014269606613894}",1.3700653932444944,1.4138210067937396,0.7186898369249278
